T,$\sigma$,V
300.0,855.0,-91065140.34961271
300.0,870.0,-31945433.26135564
300.0,885.0,25554509.84877348
300.0,900.0,81463558.14699864
300.0,915.0,135810960.41026092
300.0,930.0,188626276.24528503
300.0,945.0,239939317.96884084
300.0,960.0,289780062.264658
300.0,975.0,338178634.2204821
300.0,990.0,385165225.50237155
315.0,0.0,-9056460202.994751
315.0,15.0,-9043901260.789265
315.0,30.0,-9006636245.0648
315.0,45.0,-8945642331.826271
315.0,60.0,-8862223710.68282
315.0,75.0,-8757895303.56122
315.0,90.0,-8634306064.627007
315.0,105.0,-8493182980.571139
315.0,120.0,-8336288296.563444
315.0,135.0,-8165386118.628233
315.0,150.0,-7982216107.722738
315.0,165.0,-7788472772.004203
315.0,180.0,-7585789308.889142
315.0,195.0,-7375725217.035987
315.0,210.0,-7159757071.299475
315.0,225.0,-6939271970.39549
315.0,240.0,-6715563248.630712
315.0,255.0,-6489828104.200475
315.0,270.0,-6263166842.461979
315.0,285.0,-6036583469.940878
315.0,300.0,-5810987406.024234
315.0,315.0,-5587196104.878481
315.0,330.0,-5365938404.974527
315.0,345.0,-5147858443.4818325
315.0,360.0,-4933519992.946314
315.0,375.0,-4723411095.249183
315.0,390.0,-4517948884.571647
315.0,405.0,-4317484506.171017
315.0,420.0,-4122308052.3132434
315.0,435.0,-3932653449.10286
315.0,450.0,-3748703240.2133517
315.0,465.0,-3570593223.9103236
315.0,480.0,-3398416909.273465
315.0,495.0,-3232229765.9335012
315.0,510.0,-3072053248.8512383
315.0,525.0,-2917878586.0105247
315.0,540.0,-2769670322.639335
315.0,555.0,-2627369619.460458
315.0,570.0,-2490897306.4770045
315.0,585.0,-2360156697.2025156
315.0,600.0,-2235036170.0070443
315.0,615.0,-2115411525.336252
315.0,630.0,-2001148129.2474296
315.0,645.0,-1892102854.035931
315.0,660.0,-1788125828.0218058
315.0,675.0,-1687887332.0053916
315.0,690.0,-1589800008.1020977
315.0,705.0,-1493846416.5806296
315.0,720.0,-1400013179.8886695
315.0,735.0,-1308284868.8676658
315.0,750.0,-1218644180.7075794
315.0,765.0,-1131072102.3196669
315.0,780.0,-1045548060.260361
315.0,795.0,-962050059.4153113
315.0,810.0,-880554811.5593424
315.0,825.0,-801037855.0037045
315.0,840.0,-723473666.5587502
315.0,855.0,-647834844.9468029
315.0,870.0,-574095890.7018316
315.0,885.0,-502227781.31601834
315.0,900.0,-432201733.3699124
315.0,915.0,-363988366.8856418
315.0,930.0,-297557782.9699776
315.0,945.0,-232879637.20897865
315.0,960.0,-169923208.93839288
315.0,975.0,-108657466.72413635
315.0,990.0,-49051130.256215096
330.0,0.0,-12641128964.34009
330.0,15.0,-12625842224.288746
330.0,30.0,-12580410257.566473
330.0,45.0,-12505859362.267546
330.0,60.0,-12403574916.337835
330.0,75.0,-12275184087.87334
330.0,90.0,-12122477751.231936
330.0,105.0,-11947352755.432257
330.0,120.0,-11751767103.76333
330.0,135.0,-11537704234.92848
330.0,150.0,-11307144165.298233
330.0,165.0,-11062040046.661573
330.0,180.0,-10804299141.01357
330.0,195.0,-10535767483.96127
330.0,210.0,-10258217680.752653
330.0,225.0,-9973339393.9605
330.0,240.0,-9682732161.52298
330.0,255.0,-9387900239.698874
330.0,270.0,-9090249208.512615
330.0,285.0,-8791084108.03437
330.0,300.0,-8491608898.795226
330.0,315.0,-8192927060.827806
330.0,330.0,-7896043162.0892935
330.0,345.0,-7601865242.146902
330.0,360.0,-7311207871.564019
330.0,375.0,-7024795758.372169
330.0,390.0,-6743267786.638444
330.0,405.0,-6467181381.783433
330.0,420.0,-6197017109.422072
330.0,435.0,-5933183424.409037
330.0,450.0,-5676021496.342907
330.0,465.0,-5425810048.332875
330.0,480.0,-5182770153.732787
330.0,495.0,-4947069944.609986
330.0,510.0,-4718829193.80752
330.0,525.0,-4498123738.879382
330.0,540.0,-4284989723.4933414
330.0,555.0,-4079427637.8793507
330.0,570.0,-3881406144.452559
330.0,585.0,-3690865680.2603316
330.0,600.0,-3507721831.5160594
330.0,615.0,-3331868478.899291
330.0,630.0,-3163180715.6343346
330.0,645.0,-3001517542.2822537
330.0,660.0,-2846724344.287778
330.0,675.0,-2698635160.3042417
330.0,690.0,-2557074749.7918625
330.0,705.0,-2421860469.866398
330.0,720.0,-2292803971.50057
330.0,735.0,-2169712725.9728355
330.0,750.0,-2052391392.1197503
330.0,765.0,-1940643035.3502119
330.0,780.0,-1834268391.7860901
330.0,795.0,-1732487086.9255285
330.0,810.0,-1633140567.7075503
330.0,825.0,-1536028808.122054
330.0,840.0,-1441128039.919269
330.0,855.0,-1348413262.742248
330.0,870.0,-1257858354.6920183
330.0,885.0,-1169436176.0055335
330.0,900.0,-1083118666.6776872
330.0,915.0,-998876938.2598689
330.0,930.0,-916681360.7459805
330.0,945.0,-836501644.4499483
330.0,960.0,-758306917.6249807
330.0,975.0,-682065799.9527173
330.0,990.0,-607746472.1115458
345.0,0.0,-17479348774.86683
345.0,15.0,-17460823346.485256
345.0,30.0,-17405691622.245094
345.0,45.0,-17315028665.51287
345.0,60.0,-17190300608.389507
345.0,75.0,-17033246586.967169
345.0,90.0,-16845799586.904957
345.0,105.0,-16630027359.137178
345.0,120.0,-16388085983.548546
345.0,135.0,-16122182291.353832
345.0,150.0,-15834542931.508709
345.0,165.0,-15527388662.970886
345.0,180.0,-15202912905.26489
345.0,195.0,-14863263851.5386
345.0,210.0,-14510529623.123196
345.0,225.0,-14146726059.65814
345.0,240.0,-13773786819.293592
345.0,255.0,-13393555520.14269
345.0,270.0,-13007779693.716091
345.0,285.0,-12618106352.610014
345.0,300.0,-12226078995.402784
345.0,315.0,-11833135891.200489
345.0,330.0,-11440609497.60883
345.0,345.0,-11049726878.984581
345.0,360.0,-10661610999.975292
345.0,375.0,-10277282777.902468
345.0,390.0,-9897663785.575043
345.0,405.0,-9523579501.845781
345.0,420.0,-9155763015.644485
345.0,435.0,-8794859094.757168
345.0,450.0,-8441428537.613236
345.0,465.0,-8095952733.459966
345.0,480.0,-7758838362.3695
345.0,495.0,-7430422173.672895
345.0,510.0,-7110975787.550919
345.0,525.0,-6800710471.64675
345.0,540.0,-6499781849.859832
345.0,555.0,-6208294507.829366
345.0,570.0,-5926306463.918954
345.0,585.0,-5653833481.083448
345.0,600.0,-5390853199.479558
345.0,615.0,-5137309074.332574
345.0,630.0,-4893114107.984664
345.0,645.0,-4658154368.587492
345.0,660.0,-4432292291.412563
345.0,675.0,-4215369761.6998773
345.0,690.0,-4007207184.520824
345.0,705.0,-3807621432.562364
345.0,720.0,-3616405174.630984
345.0,735.0,-3433344642.727485
345.0,750.0,-3258217769.542678
345.0,765.0,-3090796051.0850983
345.0,780.0,-2930846233.433193
345.0,795.0,-2778131833.337006
345.0,810.0,-2632414502.60148
345.0,825.0,-2493455246.0763893
345.0,840.0,-2361015503.4507833
345.0,855.0,-2234858104.716046
345.0,870.0,-2114748108.4904413
345.0,885.0,-2000453532.442093
345.0,900.0,-1891748374.9107816
345.0,915.0,-1788325220.6664317
345.0,930.0,-1688076988.4144669
345.0,945.0,-1590119595.3651845
345.0,960.0,-1494422610.9424565
345.0,975.0,-1403309591.587195
345.0,990.0,-1312025984.0983145
360.0,0.0,-23967500811.079796
360.0,15.0,-23945161556.58729
360.0,30.0,-23878604206.824356
360.0,45.0,-23768951271.120495
360.0,60.0,-23617747583.190556
360.0,75.0,-23426841676.5591
360.0,90.0,-23198305851.67758
360.0,105.0,-22934376100.638954
360.0,120.0,-22637404473.477085
360.0,135.0,-22309820107.115265
360.0,150.0,-21954096712.222713
360.0,165.0,-21572725113.187347
360.0,180.0,-21168189888.279118
360.0,195.0,-20742949431.602444
360.0,210.0,-20299418933.440056
360.0,225.0,-19839955894.944023
360.0,240.0,-19366847873.056416
360.0,255.0,-18882302210.66458
360.0,270.0,-18388437547.50706
360.0,285.0,-17887276939.241802
360.0,300.0,-17380742433.8342
360.0,315.0,-16870650972.267168
360.0,330.0,-16358711493.689034
360.0,345.0,-15846523134.083519
360.0,360.0,-15335574416.578976
360.0,375.0,-14827243336.849289
360.0,390.0,-14322798252.460243
360.0,405.0,-13823399488.744612
360.0,420.0,-13330101578.593493
360.0,435.0,-12843856055.608269
360.0,450.0,-12365514725.052975
360.0,465.0,-11895833339.208221
360.0,480.0,-11435475607.416832
360.0,495.0,-10985017476.1776
360.0,510.0,-10544951616.004753
360.0,525.0,-10115692058.538418
360.0,540.0,-9697578929.5386
360.0,555.0,-9290883228.941442
360.0,570.0,-8895811613.278685
